Date,Mkt-RF,SMB,HML,RF
1999-01-04,,,,
1999-01-05,,,,
1999-01-06,,,,
1999-01-07,,,,
1999-01-08,,,,
1999-01-11,,,,
1999-01-12,,,,
1999-01-13,,,,
1999-01-14,,,,
1999-01-15,,,,
1999-01-19,,,,
1999-01-20,,,,
1999-01-21,,,,
1999-01-22,,,,
1999-01-25,,,,
1999-01-26,,,,
1999-01-27,,,,
1999-01-28,,,,
1999-01-29,,,,
1999-02-01,,,,
1999-02-02,,,,
1999-02-03,,,,
1999-02-04,,,,
1999-02-05,,,,
1999-02-08,,,,
1999-02-09,,,,
1999-02-10,,,,
1999-02-11,,,,
1999-02-12,,,,
1999-02-16,,,,
1999-02-17,-0.016783570236923097,-0.044017986765991515,-0.026767372033468677,0.005715731383286893
1999-02-18,-0.01853410393976519,-0.04806263716952014,-0.02082530514267118,0.005715731383286757
1999-02-19,-0.036317766111277724,-0.04097577953879015,-0.020037236977796028,0.005715731383286875
1999-02-22,-0.012401705468387408,-0.05672252014741789,-0.02455817641205744,0.005715731383286893
1999-02-23,-0.015941131909715224,-0.054082926959743184,-0.03185356300650252,0.00571573138328689
1999-02-24,-0.02375583341545844,-0.06304896556675971,-0.026513270755510538,0.0057157313832869455
1999-02-25,-0.012217950244413384,-0.06807732532221542,-0.02738748553930609,0.005715731383286903
1999-02-26,-0.011721377727946637,-0.06761113088765935,-0.022420207526338432,0.005715731383287046
1999-03-01,0.00486047835044353,-0.0748117577976359,-0.023298360848253145,0.00570567613647028
1999-03-02,-0.024318594984527278,-0.06782533832872957,-0.011995081337087567,0.0056956209901868615
1999-03-03,-0.03196530440875564,-0.07526933642552543,-0.0021319688083360428,0.005685565944435758
1999-03-04,-0.021342417685387964,-0.08588675119300407,0.0013848352488293704,0.005675510999216185
1999-03-05,0.017134036457353775,-0.0996430896990692,-0.010960732415801302,0.0056654561545267206
1999-03-08,0.030649407185395813,-0.10430582840394406,-0.020441288550407815,0.0056554014103668525
1999-03-09,0.021435297058577035,-0.09454152331336427,-0.02425927673215206,0.005645346766735209
1999-03-10,0.012670638725004055,-0.09209041253829515,-0.014587729156522561,0.005635292223630887
1999-03-11,0.0276678766750922,-0.10034166315839069,-0.00823982927388732,0.005625237781053011
1999-03-12,0.007949758407686719,-0.09652261624638864,0.008309445790501012,0.005615183439000287
1999-03-15,0.00784991197297559,-0.10021947979268582,0.006990465835250777,0.00560512919747189
1999-03-16,0.01027822217148494,-0.10066955008090475,0.0028551884815602954,0.005595075056467024
1999-03-17,0.01374401367121565,-0.09732966985938453,0.007354090234293784,0.005585021015984472
1999-03-18,0.017461409955242833,-0.10629029982869372,0.011607948246543976,0.005574967076023047
1999-03-19,0.023685684485964136,-0.10895808997845861,0.010704278615355908,0.0055649132365818066
1999-03-22,0.029781511634195137,-0.10770348002770906,0.004787863054456405,0.005554859497659838
1999-03-23,0.0002946021421255802,-0.09755353974616408,0.009893899425099701,0.005544805859256253
1999-03-24,0.028538214437903237,-0.10233459356398227,-0.006250052785958804,0.0055347523213699675
1999-03-25,0.04402732088849903,-0.08779897317841771,-0.010444776181234242,0.005524698884000149
1999-03-26,0.0135693085023481,-0.07404305139061858,0.0008127337291468097,0.005514645547145545
1999-03-29,0.05365747279377642,-0.07718690362276555,-0.021392145349711043,0.005504592310805153
1999-03-30,0.04025775530568887,-0.05857727591917126,-0.024035708338761314,0.005494539174977998
1999-03-31,0.046485579512998455,-0.0515595181291057,-0.03214541261213596,0.0054844861396631285
1999-04-01,0.04254518593179604,-0.04311614307552571,-0.0334933995026483,0.005474433204859623
1999-04-05,0.059392300158324765,-0.052289385562518886,-0.03718532258456421,0.005464380370566143
1999-04-06,0.03177217086018272,-0.04078338862479144,-0.030200672027998816,0.005454327636782043
1999-04-07,0.035173957416120956,-0.051968194637438375,-0.026400594283508827,0.005444275003506038
